[2023-12-01 16:47:29,943 | finetune_omp.py | line 87] - INFO: loss: 1.3126895523827131
[2023-12-01 16:47:32,398 | finetune_omp.py | line 87] - INFO: loss: 1.3133849584020056
[2023-12-01 16:47:35,804 | finetune_omp.py | line 87] - INFO: loss: 1.3145271349650187
[2023-12-01 16:47:41,494 | finetune_omp.py | line 87] - INFO: loss: 1.3132995649578603
[2023-12-01 16:47:45,890 | finetune_omp.py | line 87] - INFO: loss: 1.3127700327067948
[2023-12-01 16:47:49,572 | finetune_omp.py | line 87] - INFO: loss: 1.3128985354377778
[2023-12-01 16:47:53,092 | finetune_omp.py | line 87] - INFO: loss: 1.311049193636934
[2023-12-01 16:47:59,067 | finetune_omp.py | line 87] - INFO: loss: 1.310386866233131
[2023-12-01 16:48:01,351 | finetune_omp.py | line 87] - INFO: loss: 1.310818229019058
[2023-12-01 16:48:04,627 | finetune_omp.py | line 87] - INFO: loss: 1.309856015586915
[2023-12-01 16:48:10,893 | finetune_omp.py | line 87] - INFO: loss: 1.3089818456801654
[2023-12-01 16:48:15,222 | finetune_omp.py | line 87] - INFO: loss: 1.307340583363685
[2023-12-01 16:48:20,185 | finetune_omp.py | line 87] - INFO: loss: 1.3058853145050897
[2023-12-01 16:48:24,314 | finetune_omp.py | line 87] - INFO: loss: 1.304832979688005
[2023-12-01 16:48:29,526 | finetune_omp.py | line 87] - INFO: loss: 1.3069305016251198
[2023-12-01 16:48:32,738 | finetune_omp.py | line 87] - INFO: loss: 1.3057034591411814
[2023-12-01 16:48:40,457 | finetune_omp.py | line 87] - INFO: loss: 1.3047652020541722
[2023-12-01 16:48:45,549 | finetune_omp.py | line 87] - INFO: loss: 1.3039493816160699
[2023-12-01 16:48:50,652 | finetune_omp.py | line 87] - INFO: loss: 1.3032066293796245
[2023-12-01 16:48:55,981 | finetune_omp.py | line 87] - INFO: loss: 1.3026724082714607
[2023-12-01 16:49:00,692 | finetune_omp.py | line 87] - INFO: loss: 1.3021900553655654
[2023-12-01 16:49:04,037 | finetune_omp.py | line 87] - INFO: loss: 1.3023790406900884
[2023-12-01 16:49:07,311 | finetune_omp.py | line 87] - INFO: loss: 1.3022533109236591
[2023-12-01 16:49:10,793 | finetune_omp.py | line 87] - INFO: loss: 1.301875884106725
[2023-12-01 16:49:15,222 | finetune_omp.py | line 87] - INFO: loss: 1.3014117975794726
[2023-12-01 16:49:20,214 | finetune_omp.py | line 87] - INFO: loss: 1.300565238755146
[2023-12-01 16:49:25,751 | finetune_omp.py | line 87] - INFO: loss: 1.2994687889905647
[2023-12-01 16:49:30,392 | finetune_omp.py | line 87] - INFO: loss: 1.2984615081205817
[2023-12-01 16:49:34,331 | finetune_omp.py | line 87] - INFO: loss: 1.297828888114927
[2023-12-01 16:49:41,536 | finetune_omp.py | line 87] - INFO: loss: 1.2972780321604351
[2023-12-01 16:49:46,695 | finetune_omp.py | line 87] - INFO: loss: 1.2961768870827541
[2023-12-01 16:49:53,375 | finetune_omp.py | line 87] - INFO: loss: 1.2952371060949777
[2023-12-01 16:49:56,204 | finetune_omp.py | line 87] - INFO: loss: 1.2952347672436615
[2023-12-01 16:49:59,542 | finetune_omp.py | line 87] - INFO: loss: 1.2948327110698556
[2023-12-01 16:50:04,269 | finetune_omp.py | line 87] - INFO: loss: 1.294899478696166
[2023-12-01 16:50:10,591 | finetune_omp.py | line 87] - INFO: loss: 1.2939792052035461
[2023-12-01 16:50:13,821 | finetune_omp.py | line 87] - INFO: loss: 1.2937694832081956
[2023-12-01 16:50:17,762 | finetune_omp.py | line 87] - INFO: loss: 1.2930364269008354
[2023-12-01 16:50:23,319 | finetune_omp.py | line 87] - INFO: loss: 1.2925109928712892
[2023-12-01 16:50:26,826 | finetune_omp.py | line 87] - INFO: loss: 1.2927640606241988
[2023-12-01 16:50:29,928 | finetune_omp.py | line 87] - INFO: loss: 1.2930304548793197
[2023-12-01 16:50:34,398 | finetune_omp.py | line 87] - INFO: loss: 1.2916435163742366
[2023-12-01 16:50:37,790 | finetune_omp.py | line 87] - INFO: loss: 1.2908453436091518
[2023-12-01 16:50:41,921 | finetune_omp.py | line 87] - INFO: loss: 1.290599379306268
[2023-12-01 16:50:45,615 | finetune_omp.py | line 87] - INFO: loss: 1.2907762335823176
[2023-12-01 16:50:49,882 | finetune_omp.py | line 87] - INFO: loss: 1.2904724297493397
[2023-12-01 16:50:54,538 | finetune_omp.py | line 87] - INFO: loss: 1.2908048189353842
[2023-12-01 16:50:59,233 | finetune_omp.py | line 87] - INFO: loss: 1.2901495581241649
[2023-12-01 16:51:02,816 | finetune_omp.py | line 87] - INFO: loss: 1.2892919139563266
[2023-12-01 16:51:06,965 | finetune_omp.py | line 87] - INFO: loss: 1.2884019256436536
[2023-12-01 16:51:11,187 | finetune_omp.py | line 87] - INFO: loss: 1.2879880248492097
[2023-12-01 16:51:16,524 | finetune_omp.py | line 87] - INFO: loss: 1.2865852935164634
[2023-12-01 16:51:20,871 | finetune_omp.py | line 87] - INFO: loss: 1.2864419606541209
[2023-12-01 16:51:26,252 | finetune_omp.py | line 87] - INFO: loss: 1.285772643385362
[2023-12-01 16:51:31,501 | finetune_omp.py | line 87] - INFO: loss: 1.285719318853318
[2023-12-01 16:51:39,200 | finetune_omp.py | line 87] - INFO: loss: 1.284952296965245
[2023-12-01 16:51:44,793 | finetune_omp.py | line 87] - INFO: loss: 1.285377972461524
[2023-12-01 16:51:48,005 | finetune_omp.py | line 87] - INFO: loss: 1.2842002086330322
[2023-12-01 16:51:54,174 | finetune_omp.py | line 87] - INFO: loss: 1.2829828471282854
[2023-12-01 16:51:59,776 | finetune_omp.py | line 87] - INFO: loss: 1.282433128865077
